Filename, Energy, Contrast, Homogenity, IDM, Entropy, Mean1, Cluster Shade, Cluster Prominence, Shapes Detected, Circle, Triangle, Rectangle, Irregular Small, Irregular Large, Circle Area, Triangle Area, Rectangle Area, Irreg. S. Area, Irreg. L Area
20180707-IMG_1461__0,0.616639,22.620358,0.913959,0.080326,0.769663,7.701299,141116.5938,14781293,65,2,1,0,55,7,782,0,inf,1527.109131,38265.92969
20180707-IMG_1461__1,0.938166,6.591663,0.982884,0.012531,0.143273,1.210538,29655.3457,3542199.25,26,0,0,0,25,1,#NAME?,#NAME?,#NAME?,1500.579956,10119.5
20180707-IMG_1461__2,0.509724,28.220667,0.877328,0.109905,1.008866,9.527707,160667.1094,16320773,71,5,0,0,57,9,0,#NAME?,inf,1461.964966,14640.5
20180707-IMG_1461__3,0.924654,2.368134,0.981197,0.015337,0.163077,0.701252,3831.574463,225803.6563,22,0,0,0,19,3,#NAME?,#NAME?,#NAME?,1473.473633,33473.33203
20180707-IMG_1464__0,0.704795,16.159996,0.92053,0.060317,0.606324,4.095705,43851.42188,3581714,99,17,1,0,74,7,13229.41211,0,inf,1558.256714,24015.71484
20180707-IMG_1464__1,0.939847,2.83461,0.983388,0.011296,0.136361,0.59865,4129.247559,277380.125,49,8,0,0,41,0,0,#NAME?,inf,2009.524414,#NAME?
20180707-IMG_1464__2,0.656922,10.050699,0.918736,0.067805,0.670058,2.836219,13703.34375,806824,63,7,0,1,55,0,0,inf,16914,1243.563599,#NAME?
20180707-IMG_1464__3,0.418835,164.557449,0.803017,0.132893,1.219894,21.590353,1257955.625,225326288,148,5,1,1,126,15,168953.7031,3928.5,10164,1396.095215,17605.40039
20180707-IMG_1465__0,0.8634,14.789323,0.956278,0.024848,0.310125,2.067415,33442.03906,3357949.25,67,8,0,0,50,9,0,#NAME?,inf,2526.600098,15562.27734
20180707-IMG_1465__1,0.683146,19.632309,0.907271,0.064564,0.666318,4.202735,42683.87109,3465400.5,57,8,0,1,39,9,0,inf,33354,2669.781982,25979.88867
20180707-IMG_1465__2,0.477613,112.943542,0.825777,0.112981,1.154519,18.397642,994067.1875,175911296,122,7,2,0,98,15,19116.42773,0,inf,1465.576538,31377.5
20180707-IMG_1465__3,0.843196,48.639801,0.947144,0.029884,0.285233,2.941769,106749.2891,14930904,84,8,1,0,65,10,875.4375,0,inf,1804.769287,21658.15039
20180707-IMG_1467__0,0.73421,35.533215,0.90317,0.04633,0.591499,4.043742,64739.70313,6525737,98,12,1,0,74,11,22054.83398,0,inf,2752.412109,20924.5
20180707-IMG_1467__1,0.775754,28.949745,0.918906,0.038534,0.498905,2.903472,40603.50781,3941449.25,121,18,0,0,94,9,0,#NAME?,inf,2230.755371,31460.44531
20180707-IMG_1467__2,0.788852,15.7402,0.931286,0.039683,0.453441,2.393706,21782.42188,1661312.625,139,12,0,0,123,4,0,#NAME?,inf,1740.016235,31472.875
20180707-IMG_1467__3,0.827269,12.264461,0.942955,0.031684,0.372618,1.671305,12881.5,912046,137,26,0,0,105,6,0,#NAME?,inf,1595.80481,25962.25
20180707-IMG_1476__0,0.88861,6.072476,0.975849,0.022709,0.233134,2.025277,32200.04297,3170412,32,5,0,0,24,3,0,#NAME?,inf,2417.645752,47426
20180707-IMG_1476__1,0.676937,14.382226,0.94401,0.058904,0.606913,7.33337,142497.9531,15027305,41,6,0,1,28,6,0,inf,29236.5,2202.089355,20217.25
20180707-IMG_1476__2,0.767129,7.918418,0.953618,0.046709,0.45782,3.758038,43945.58594,3718461.25,37,5,0,1,27,4,0,inf,17812.5,1925.092651,33763.875
20180707-IMG_1476__3,0.893788,4.403162,0.977598,0.021126,0.219035,1.681374,19359.19531,1589314.25,44,9,1,0,33,1,405.833344,0,inf,2548.697021,79971.5
20180707-IMG_1478__0,0.801307,11.785069,0.947244,0.04163,0.411354,3.092708,37798.15625,3202999.75,83,15,0,1,54,13,0,inf,52748.5,2167.712891,22300.88477
20180707-IMG_1478__1,0.591983,23.391476,0.921619,0.083604,0.764634,9.880735,205337.9688,22265426,83,11,0,2,56,14,0,inf,16546.75,2094.651855,24209.89258
20180707-IMG_1478__2,0.763841,73.02964,0.922004,0.044681,0.415278,4.904647,182419.2344,25726260,94,9,1,0,65,19,132.944443,0,inf,2351.453857,19050.21094
20180707-IMG_1478__3,0.727737,16.487482,0.939974,0.057067,0.525645,5.508307,95911.84375,9557144,101,18,0,0,69,14,0,#NAME?,inf,2310.630371,22346.35742
20180707-IMG_1484__0,0.825249,19.386534,0.95206,0.034352,0.361007,3.274798,69724.58594,7709176.5,77,3,0,0,67,7,0,#NAME?,inf,1443.373169,30855.28516
20180707-IMG_1484__1,0.933925,2.629684,0.986498,0.013742,0.139705,1.042575,11839.74316,955221.375,20,2,0,0,14,4,0,#NAME?,inf,2114.964355,18986.25
20180707-IMG_1484__2,0.824109,5.775294,0.964954,0.040092,0.339229,2.995045,34465.06641,2795663.5,31,7,0,2,20,2,0,inf,14376,2019.300049,47375.25
20180707-IMG_1484__3,0.85757,13.984818,0.96526,0.028524,0.2917,2.736526,57112.35156,6207524.5,83,10,0,0,72,1,0,#NAME?,inf,1283.027832,15730.5
20180707-IMG_1500__0,0.233612,3.600222,0.929645,0.118196,1.122501,16.539164,131685.1406,8594482,13,1,0,0,9,3,0,#NAME?,inf,1332.388916,29312.5
